dt,open,high,low,close,volume
2024-12-18,535.150024,536.880005,515.01001,516.469971,54703200
2024-12-19,521.190002,521.76001,513.830017,514.169983,46441800
2024-12-20,510.440002,524.820007,509.290009,518.659973,60530000
2024-12-23,519.549988,523.25,516.130005,522.869995,29672800
2024-12-24,524.830017,530.049988,524.190002,529.960022,17558200
2024-12-26,528.320007,531.23999,526.309998,529.599976,19090500
2024-12-27,526.01001,526.450012,517.859985,522.559998,33839600
2024-12-30,515.51001,519.359985,511.829987,515.609985,34584000
2024-12-31,516.900024,517.659973,510.26001,511.230011,29117000
2025-01-02,514.299988,516.640015,505.709991,510.230011,36389800
2025-01-03,513.349976,519.650024,512.530029,518.580017,29059500
2025-01-06,524.02002,527.919983,522.030029,524.539978,36109700
2025-01-07,525.590027,525.98999,513.280029,515.179993,36690300
2025-01-08,515.080017,516.919983,510.570007,515.27002,30777800
2025-01-10,511.480011,511.579987,503.920013,507.190002,40532500
2025-01-13,501.200012,506.019989,499.700012,505.559998,31694200
2025-01-14,508.73999,510.160004,501.589996,505.079987,33737200
2025-01-15,513.030029,517.849976,511.459991,516.700012,34957600
2025-01-16,518.97998,519.059998,512.950012,513.080017,28229000
2025-01-17,522.849976,524.070007,513.109985,521.73999,51837900
2025-01-21,524.47998,525.969971,520.059998,524.799988,23628000
2025-01-22,529.570007,533.820007,529.26001,531.51001,33593000
2025-01-23,529.039978,532.76001,528.450012,532.640015,23096600
2025-01-24,533.02002,533.789978,528.150024,529.630005,19878300
2025-01-27,511.0,517.98999,510.149994,514.210022,60771700
2025-01-28,515.219971,523.0,511.779999,521.809998,33194200
2025-01-29,522.460022,522.590027,516.900024,520.830017,26649000
2025-01-30,523.710022,526.099976,518.210022,523.049988,27431300
2025-01-31,526.919983,531.52002,521.190002,522.289978,38755200
2025-02-03,513.469971,520.849976,511.049988,518.109985,40580800
2025-02-04,518.630005,525.109985,518.22998,524.469971,26046800
2025-02-05,521.820007,527.01001,520.619995,526.849976,21134100
2025-02-06,527.359985,529.809998,525.73999,529.599976,19434500
2025-02-07,530.140015,532.099976,522.190002,522.919983,29605500
2025-02-10,527.219971,530.359985,526.75,529.25,20852800
2025-02-11,525.960022,529.919983,525.830017,527.98999,19325500
2025-02-12,522.299988,529.190002,521.950012,528.299988,25009400
2025-02-13,529.97998,536.219971,529.190002,535.900024,28714800
2025-02-14,536.01001,538.840027,535.669983,538.150024,17862600
2025-02-18,539.72998,540.0,536.039978,539.369995,20565000
2025-02-19,538.570007,540.809998,536.460022,539.52002,19666900
2025-02-20,538.72998,539.099976,532.460022,537.22998,26550800
2025-02-21,538.380005,538.400024,525.710022,526.080017,47093800
2025-02-24,527.880005,529.070007,519.530029,519.869995,39268400
2025-02-25,519.23999,519.320007,509.440002,513.320007,48940000
2025-02-26,515.530029,519.659973,511.369995,514.559998,34457600
2025-02-27,518.130005,519.070007,500.049988,500.269989,52448000
2025-02-28,500.130005,508.779999,496.929993,508.170013,47654000
2025-03-03,511.519989,513.039978,493.579987,497.049988,44587200
2025-03-04,494.179993,503.73999,487.73999,495.549988,67875400
2025-03-05,496.200012,503.630005,491.26001,502.01001,46323700
